scheme_name,fund_score
Kotak Flexicap Fund - Regular - Growth,81.125
Mirae Asset Large Cap Fund - Regular - Growth,74.625
ICICI Pru Midcap Fund - Regular - Growth,68.875
HDFC Mid-Cap Opportunities Fund - Regular - Growth,68.5
SBI Small Cap Fund - Regular Plan - Growth,68.25
Axis Midcap Fund - Regular - Growth,64.75
DSP Midcap Fund - Regular - Growth,64.25
ABSL Small Cap Fund - Regular - Growth,62.625
Mirae Asset Emerging Bluechip Fund - Regular - Growth,61.375
SBI Bluechip Fund - Direct Plan - Growth,61.25
ICICI Pru Bluechip Fund - Direct - Growth,60.625
Kotak Emerging Equity Fund - Regular - Growth,59.5
ABSL Frontline Equity Fund - Regular - Growth,59.25
SBI Small Cap Fund - Direct Plan - Growth,59.125
ICICI Pru Liquid Fund - Regular - Growth,57.875
Nippon India ETF Nifty 50 BeES,56.625
DSP Small Cap Fund - Regular - Growth,56.375
UTI Flexi Cap Fund - Regular - Growth,56.375
Nippon India Large Cap Fund - Direct - Growth,56.25
HDFC Top 100 Fund - Direct Plan - Growth,53.875
Nippon India Large Cap Fund - Regular - Growth,53.625
SBI Bluechip Fund - Regular Plan - Growth,53.25
DSP Top 100 Equity Fund - Regular - Growth,52.625
HDFC Mid-Cap Opportunities Fund - Direct - Growth,52.0
Nippon India Small Cap Fund - Regular - Growth,50.875
Mirae Asset Tax Saver Fund - Regular - Growth,49.75
HDFC Short Term Debt Fund - Regular - Growth,48.875
ICICI Pru Value Discovery Fund - Regular - Growth,46.75
UTI Nifty 50 Index Fund - Regular - Growth,46.125
Kotak Liquid Fund - Regular - Growth,45.875
Axis Bluechip Fund - Direct - Growth,45.75
Axis Small Cap Fund - Regular - Growth,45.5
UTI Mid Cap Fund - Regular - Growth,43.875
Kotak Bluechip Fund - Regular - Growth,41.5
SBI Magnum Gilt Fund - Regular Plan - Growth,41.125
ICICI Pru Bluechip Fund - Regular - Growth,40.75
Axis Bluechip Fund - Regular - Growth,37.0
HDFC Top 100 Fund - Regular Plan - Growth,35.25
Nippon India Gilt Securities Fund - Regular - Growth,34.625
ABSL Liquid Fund - Regular - Growth,33.5
