scheme_name,index_name,tracking_error
HDFC Mid-Cap Opportunities Fund - Regular - Growth,NIFTY100,0.22869942052083106
HDFC Mid-Cap Opportunities Fund - Regular - Growth,NIFTY50,0.2297551098545287
ICICI Pru Midcap Fund - Regular - Growth,NIFTY100,0.2319675096004632
ICICI Pru Midcap Fund - Regular - Growth,NIFTY50,0.23312357538323944
Kotak Flexicap Fund - Regular - Growth,NIFTY100,0.20642496841144062
Kotak Flexicap Fund - Regular - Growth,NIFTY50,0.20514776699717427
Mirae Asset Large Cap Fund - Regular - Growth,NIFTY100,0.1896636779215802
Mirae Asset Large Cap Fund - Regular - Growth,NIFTY50,0.19399579209820508
SBI Small Cap Fund - Regular Plan - Growth,NIFTY100,0.2838814541332667
SBI Small Cap Fund - Regular Plan - Growth,NIFTY50,0.27803293056948225
