scheme_name,fund_house,return_3yr_pct,sharpe_ratio,sortino_ratio,expense_ratio_pct,max_drawdown_pct,aum_crore
ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,7.68,7.68,10.37,0.74,-2.62,39116
Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,6.18,6.18,9.7,0.6,-3.81,27623
ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,5.14,5.14,8.76,0.79,-3.66,38995
HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,7.37,1.84,2.79,0.56,-6.01,27953
SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,6.07,1.52,2.11,0.77,-2.3,24101
Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,5.31,1.33,2.38,0.55,-2.23,30030
Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,14.81,1.06,1.66,1.46,-17.07,11361
HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,14.84,1.06,1.7,1.55,-17.41,6434
ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,14.41,1.03,1.27,0.8,-26.59,41553
Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,14.0,1.0,1.68,1.51,-16.07,20909
ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,14.76,0.98,1.5,1.41,-21.89,2571
ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,13.78,0.98,1.25,1.6,-15.07,23500
Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,15.65,0.98,1.57,1.45,-19.5,35012
HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,13.38,0.96,1.45,0.92,-33.5,10611
UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,15.34,0.96,1.37,1.64,-12.14,17912
Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,18.23,0.96,1.27,1.56,-21.92,47469
ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,18.08,0.95,1.45,1.36,-21.84,979
SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,23.39,0.94,1.35,1.43,-13.35,19259
UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,12.1,0.93,1.29,1.57,-24.42,7350
SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,23.14,0.93,1.67,0.72,-24.78,36061
DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,12.82,0.92,1.63,1.54,-21.7,41828
Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,14.56,0.91,1.55,1.52,-33.15,49046
Nippon India ETF Nifty 50 BeES,Nippon India MF,11.77,0.91,1.24,0.89,-26.75,20284
DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,17.16,0.9,1.5,1.61,-26.99,37835
ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,22.38,0.9,1.47,1.53,-23.61,41613
Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,12.33,0.88,1.48,0.72,-18.14,39475
SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,12.36,0.88,1.29,1.54,-21.7,14288
HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,16.58,0.87,1.44,1.38,-13.67,23185
Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,12.25,0.87,1.34,1.59,-17.86,35585
Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,12.14,0.87,1.54,0.75,-17.4,15866
Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,11.84,0.85,1.25,1.64,-27.54,25803
Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,20.98,0.84,1.4,1.38,-14.45,21545
ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,11.54,0.82,1.12,1.42,-25.91,36022
UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,15.61,0.82,1.21,1.51,-13.43,41728
SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,11.3,0.81,1.29,0.66,-24.43,1231
Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,20.15,0.81,1.14,1.53,-30.87,43630
HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,15.29,0.8,1.38,0.78,-32.22,18792
Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,15.18,0.8,1.18,1.38,-32.38,28996
Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,13.58,0.8,1.03,1.6,-22.62,2989
DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,20.08,0.8,1.23,1.52,-17.01,35124
