scheme_name,fund_house,return_1yr_pct,return_3yr_pct,return_5yr_pct,alpha,beta,sharpe_ratio,sortino_ratio,std_dev_ann_pct,max_drawdown_pct,expense_ratio_pct,aum_crore
SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,12.42,12.36,14.45,0.87,0.89,0.88,1.29,14.0,-21.7,1.54,14288
SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,15.25,11.3,14.23,1.78,0.87,0.81,1.29,14.0,-24.43,0.66,1231
SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,24.56,23.39,20.67,1.23,0.89,0.94,1.35,25.0,-13.35,1.43,19259
SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,20.59,23.14,21.82,1.13,1.04,0.93,1.67,25.0,-24.78,0.72,36061
SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,5.34,6.07,5.43,1.6,0.22,1.52,2.11,4.0,-2.3,0.77,24101
HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,10.94,14.84,11.32,0.78,0.97,1.06,1.7,14.0,-17.41,1.55,6434
HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,11.48,13.38,13.48,1.13,0.97,0.96,1.45,14.0,-33.5,0.92,10611
HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,15.43,16.58,17.69,0.95,0.91,0.87,1.44,19.0,-13.67,1.38,23185
HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,19.98,15.29,15.85,0.9,1.04,0.8,1.38,19.0,-32.22,0.78,18792
HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,6.83,7.37,6.41,1.98,0.44,1.84,2.79,4.0,-6.01,0.56,27953
ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,15.63,11.54,11.46,0.66,0.96,0.82,1.12,14.0,-25.91,1.42,36022
ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,14.12,14.41,13.02,0.88,1.03,1.03,1.27,14.0,-26.59,0.8,41553
ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,14.02,18.08,17.55,0.89,1.0,0.95,1.45,19.0,-21.84,1.36,979
ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,16.67,14.76,12.6,0.55,0.92,0.98,1.5,15.0,-21.89,1.41,2571
ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,8.89,7.68,7.94,1.85,0.26,7.68,10.37,0.5,-2.62,0.74,39116
Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,15.84,14.0,14.7,0.86,0.88,1.0,1.68,14.0,-16.07,1.51,20909
Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,14.42,12.33,14.72,1.7,1.02,0.88,1.48,14.0,-18.14,0.72,39475
Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,21.3,20.15,21.88,0.8,1.03,0.81,1.14,25.0,-30.87,1.53,43630
Nippon India ETF Nifty 50 BeES,Nippon India MF,10.14,11.77,12.31,1.8,1.04,0.91,1.24,13.0,-26.75,0.89,20284
Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,6.19,5.31,8.71,0.89,0.37,1.33,2.38,4.0,-2.23,0.55,30030
Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,14.37,12.25,13.42,1.27,0.93,0.87,1.34,14.0,-17.86,1.59,35585
Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,17.12,18.23,17.75,1.91,1.0,0.96,1.27,19.0,-21.92,1.56,47469
Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,15.74,15.65,13.5,1.85,0.95,0.98,1.57,16.0,-19.5,1.45,35012
Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,4.26,6.18,8.26,1.52,0.47,6.18,9.7,0.5,-3.81,0.6,27623
Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,11.82,11.84,14.14,1.41,0.91,0.85,1.25,14.0,-27.54,1.64,25803
Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,13.95,12.14,13.66,1.43,0.87,0.87,1.54,14.0,-17.4,0.75,15866
Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,14.88,15.18,18.94,1.42,1.0,0.8,1.18,19.0,-32.38,1.38,28996
Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,21.97,20.98,22.62,0.51,1.0,0.84,1.4,25.0,-14.45,1.38,21545
ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,14.82,13.78,12.86,1.34,1.03,0.98,1.25,14.0,-15.07,1.6,23500
ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,24.93,22.38,23.8,1.84,0.97,0.9,1.47,25.0,-23.61,1.53,41613
ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,6.18,5.14,7.95,1.18,0.43,5.14,8.76,0.5,-3.66,0.79,38995
UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,13.76,12.1,11.31,0.93,0.9,0.93,1.29,13.0,-24.42,1.57,7350
UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,16.3,15.61,15.86,1.12,0.92,0.82,1.21,19.0,-13.43,1.51,41728
UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,17.43,15.34,15.78,1.79,1.0,0.96,1.37,16.0,-12.14,1.64,17912
Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,15.12,14.81,12.68,1.62,0.96,1.06,1.66,14.0,-17.07,1.46,11361
Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,14.91,14.56,15.68,1.7,0.99,0.91,1.55,16.0,-33.15,1.52,49046
Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,11.16,13.58,14.26,0.54,0.98,0.8,1.03,17.0,-22.62,1.6,2989
DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,11.96,12.82,12.35,1.82,0.91,0.92,1.63,14.0,-21.7,1.54,41828
DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,14.12,17.16,19.0,1.02,0.98,0.9,1.5,19.0,-26.99,1.61,37835
DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,20.2,20.08,20.61,0.69,0.98,0.8,1.23,25.0,-17.01,1.52,35124
